287,186
234,116
177,137
172,128
103,101
174,150
221,193
239,125
119,191
101,146
230,167
261,135
166,153
168,161
223,167
299,125
134,122
241,107
240,120
167,147
299,106
131,134
200,112
266,181
208,174
189,105
202,136
215,186
119,190
230,165
131,137
203,174
119,189
175,175
151,135
260,159
213,144
198,196
113,161
180,199
182,163
159,115
145,146
190,160
184,130
178,178
197,173
189,139
118,108
122,137
231,130,105
349,155,199
246,116,138
343,151,172
243,133,107
120,190,139
145,154,179
232,134,114
203,193,144
344,131,103
265,127,159
206,108,148
207,186,171
358,126,194
248,151,152
137,190,172
378,134,101
376,142,105
386,175,188
193,165,186
358,185,140
382,135,141
390,149,146
330,141,170
134,126,146
369,182,199
354,180,128
100,113,157
178,145,108
279,165,111
240,101,190
179,199,158
308,185,138
144,141,147
348,124,104
268,139,166
219,127,173
386,184,103
298,198,168
120,189,156
361,165,105
212,193,117
223,131,189
362,105,112
346,125,149
288,151,143
100,157,116
100,178,111
195,145,136
134,158,181
402,125,165
470,179,168
417,199,106
422,122,186
467,137,142
431,191,110
440,107,168
498,140,155
413,120,141
410,107,182
477,158,178
445,196,155
491,192,144
421,138,129
492,115,119
468,185,134
477,146,146
473,172,130
405,160,178
455,168,108
430,137,128
477,136,102
442,155,160
481,116,190
454,165,195
429,182,153
486,162,181
441,182,196
424,181,162
491,178,101
406,181,178
484,157,135
471,103,108
486,107,114
490,148,138
495,137,170
448,119,195
491,190,133
411,180,192
446,170,180
491,155,111
404,174,182
495,163,124
472,181,160
468,112,182
401,134,197
401,164,132
438,135,101
445,199,197
474,171,177
