127,112
177,176
281,121
267,128
195,125
147,195
281,130
251,126
279,188
107,110
196,103
270,164
110,108
287,113
218,101
118,146
237,158
250,190
125,117
116,111
205,151
206,159
209,164
215,179
286,112
205,115
173,172
165,189
132,109
177,145
256,125
151,102
108,170
201,191
143,128
262,172
204,143
157,132
195,194
186,116
216,137
230,157
277,149
215,124
265,174
257,107
196,158
263,117
134,128
235,131
283,176,137
198,196,170
347,136,118
383,182,190
391,177,144
172,130,170
179,157,197
212,126,123
242,116,123
227,143,128
198,170,158
224,184,183
285,163,176
156,199,136
315,169,153
209,138,184
288,156,155
283,184,130
304,125,132
151,151,139
221,197,139
284,103,169
264,159,159
260,104,109
164,159,198
203,144,165
328,189,186
290,176,195
382,106,163
213,164,192
171,106,119
133,127,149
387,177,185
399,190,195
192,169,108
262,179,119
201,137,119
275,168,157
125,168,171
198,124,110
266,110,162
255,180,170
233,197,141
335,178,146
126,117,162
393,132,132
282,183,104
196,113,126
227,107,184
119,114,111
461,158,137
470,173,191
430,128,153
476,129,183
400,105,142
434,116,102
447,162,182
403,133,183
491,150,114
486,102,167
465,148,188
444,189,178
483,109,191
469,179,158
412,182,199
476,188,198
429,102,186
491,180,160
432,138,198
463,189,121
478,113,146
419,132,124
483,132,130
442,117,143
467,139,177
442,114,146
474,112,177
479,100,195
463,122,185
477,129,170
429,133,145
468,135,122
457,187,178
459,175,149
446,107,102
479,169,166
478,156,138
425,196,120
449,158,117
424,183,191
488,117,158
457,195,121
470,182,171
491,183,116
453,199,119
469,146,107
459,111,150
405,186,109
454,152,178
429,123,199
