237,118
100,185
122,144
279,172
124,102
226,132
184,189
125,180
222,171
267,104
296,118
193,147
187,161
153,125
267,130
118,165
165,185
250,173
261,163
203,139
200,160
205,150
196,134
177,178
260,184
250,149
168,123
232,100
281,120
190,194
241,194
270,140
281,114
260,191
268,134
103,163
225,176
204,144
174,132
269,199
159,161
111,162
270,160
105,173
205,122
240,162
191,194
223,112
124,195
244,184
151,168,186
301,106,150
138,107,104
366,189,151
132,112,144
257,123,184
391,138,155
369,192,192
179,107,191
297,127,130
299,157,106
326,152,153
227,149,129
329,144,156
382,165,122
307,122,172
329,140,110
266,145,167
309,132,171
259,109,198
289,181,121
285,117,130
141,158,145
267,199,152
204,199,127
178,170,184
252,117,149
322,139,161
248,181,173
387,161,150
390,164,163
273,169,120
180,175,194
381,171,171
185,195,122
346,192,161
275,176,132
239,148,190
129,105,163
351,178,151
151,179,141
370,129,130
349,158,111
254,118,198
206,112,110
270,161,138
197,112,126
315,148,151
160,123,120
336,151,189
433,130,112
462,170,153
474,140,187
439,134,105
429,112,110
443,124,193
440,134,155
477,150,165
449,175,107
413,108,114
487,191,146
455,159,164
465,157,110
499,136,188
433,136,172
440,198,193
489,157,105
442,157,196
404,158,103
401,187,160
498,165,177
456,173,158
466,140,111
493,111,163
447,156,196
482,138,194
487,144,154
496,131,143
451,174,151
410,106,103
486,185,117
403,193,110
417,179,108
491,111,118
418,156,150
410,123,183
407,121,184
481,119,100
497,112,114
471,124,132
409,143,135
428,109,128
480,100,171
478,180,171
425,116,177
418,187,104
418,115,183
414,197,128
427,192,165
494,193,127
